# Time, p, Ux, Uy, Uz, e
8.122460000000000590e-08 1.000000000000000000e+00 9.965241000000000238e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.919297999999999726e-01
1.670399999999999923e-07 2.546868999999999908e-06 3.679493000000000111e-06 7.461412000000000383e-04 1.037114999999999912e-03 1.324131999999999988e-06
2.654280000000000128e-07 1.854321999999999947e-06 8.483994000000000471e-07 4.771862999999999886e-04 9.876023999999999957e-05 5.330127999999999724e-07
3.319549999999999837e-07 8.724287999999999724e-07 2.871291000000000217e-07 1.847935999999999893e-03 2.592854000000000027e-05 2.830090000000000165e-07
4.117860000000000055e-07 9.985701999999999587e-07 2.743993000000000237e-07 1.181271999999999921e-03 2.284970999999999980e-05 3.294834000000000081e-07
5.040459999999999595e-07 1.053170999999999975e-06 2.508269000000000078e-07 2.084986000000000044e-03 1.750850000000000016e-05 3.677262000000000043e-07
6.147589999999999530e-07 1.149842999999999902e-06 2.478958000000000009e-07 2.560707000000000174e-03 1.595330999999999922e-05 4.081208000000000211e-07
7.476140000000000134e-07 1.349106999999999906e-06 2.533661999999999782e-07 1.091385000000000055e-03 1.597270000000000040e-05 4.618962000000000064e-07
9.070400000000000011e-07 1.555349000000000039e-06 2.688045999999999823e-07 5.938939000000000501e-04 1.747316999999999859e-05 5.544324000000000460e-07
1.098350000000000038e-06 1.760414000000000083e-06 3.031368999999999779e-07 4.747137000000000015e-04 1.936336999999999957e-05 6.411548000000000417e-07
1.324139999999999997e-06 1.910763999999999838e-06 3.294859000000000242e-07 4.817229999999999819e-04 2.118205000000000161e-05 7.431345000000000294e-07
1.582669999999999917e-06 2.055145000000000209e-06 3.490394999999999935e-07 5.411510000000000235e-04 2.280479000000000159e-05 8.182095000000000052e-07
1.872340000000000102e-06 2.150348000000000033e-06 3.602630999999999935e-07 5.361170000000000171e-04 2.334404000000000156e-05 9.209941000000000400e-07
2.168760000000000052e-06 2.079910000000000047e-06 3.524045000000000240e-07 4.347495999999999956e-04 2.214347000000000028e-05 9.456282000000000131e-07
2.451659999999999919e-06 1.882254999999999989e-06 3.127479999999999891e-07 3.386436999999999846e-04 1.950743999999999834e-05 9.075595999999999868e-07
2.723699999999999858e-06 1.715098000000000049e-06 2.846842000000000208e-07 2.894001000000000212e-04 1.780302000000000018e-05 8.743173000000000095e-07
2.984060000000000107e-06 1.603012000000000061e-06 2.609765000000000076e-07 2.567658999999999805e-04 1.633844999999999940e-05 8.421452000000000122e-07
3.236450000000000158e-06 1.541905999999999963e-06 2.434318000000000212e-07 2.299973999999999877e-04 1.513813000000000036e-05 8.338795999999999782e-07
3.483549999999999876e-06 1.485421999999999972e-06 2.350334000000000061e-07 2.117258999999999916e-04 1.442217000000000019e-05 8.473467999999999600e-07
3.726790000000000194e-06 1.429528999999999989e-06 2.263200999999999965e-07 1.954671999999999909e-04 1.380393000000000050e-05 8.448119999999999550e-07
